"p_rgh","p","T","p_rghGrad:0","p_rghGrad:1","p_rghGrad:2","U:0","U:1","U:2","TGrad:0","TGrad:1","TGrad:2","pGrad:0","pGrad:1","pGrad:2","Points:0","Points:1","Points:2"
0.01591828651726246,0.01591828651726246,273.1000061035156,5.791062903881539e-06,-0.0002633535477798432,-2.726780209765742e-17,0,0,0,-3.573160824998922e-07,2.349823034819565e-06,-4.678156733523009e-13,5.791060175397433e-06,-9.801661491394043,-2.726780209765742e-17,0.05079999938607216,0,0
0.0159174595028162,-0.01664116606116295,273.1000061035156,2.161288284696639e-05,-0.0002457697701174766,5.453130285612956e-17,0,0,0,-3.352355406605056e-07,1.433861143596005e-06,9.356313467046018e-13,-0.001101176370866597,-9.801717758178711,-1.127260430614687e-16,0.05069123208522797,0.003322478849440813,0
0.01591668464243412,-0.04906114563345909,273.1000061035156,3.528908200678416e-05,-0.0002281505730934441,6.816451982659169e-17,0,0,0,-2.727616958964063e-07,8.635328754280636e-07,1.169539183380752e-12,-0.002191078849136829,-9.801918983459473,-1.393603323433901e-16,0.05036539956927299,0.006630730349570513,0
0.01591596007347107,-0.08120282739400864,273.1000061035156,4.696083487942815e-05,-0.000210583966691047,4.657295944905535e-23,0,0,0,-2.0510978515631e-07,5.2282541673776e-07,-1.111401871893048e-24,-0.00324488990008831,-9.802263259887695,-1.302962493184341e-17,0.04982389137148857,0.009910588152706623,0
0.0159152839332819,-0.1129285916686058,273.1000061035156,5.669812162523158e-05,-0.0001931366423377767,1.090481995347109e-16,0,0,0,-1.51616916355124e-07,3.255354101838748e-07,1.871262693409204e-12,-0.004244312178343534,-9.802743911743164,-8.816406488363021e-16,0.04906903207302094,0.01314800791442394,0
0.01591465249657631,-0.1441025733947754,273.1000061035156,6.456074333982542e-05,-0.000175924229552038,2.180921506697957e-16,0,0,0,-1.137354956881609e-07,2.078987932918608e-07,3.742525386818407e-12,-0.005172019358724356,-9.803351402282715,-1.918410617401901e-15,0.04810405150055885,0.01632912456989288,0
0.0159140657633543,-0.1745912879705429,273.1000061035156,7.064846431603655e-05,-0.0001591235195519403,1.090439577525297e-16,0,0,0,-8.517181981915201e-08,1.324727350038302e-07,1.871262693409204e-12,-0.006011900957673788,-9.804076194763184,-1.03676991562604e-15,0.04693308100104332,0.01944031752645969,0
0.01591352187097073,-0.2042641937732697,273.1000061035156,7.510737486882135e-05,-0.0001429180119885132,-2.180731586029315e-16,0,0,0,-6.165993227114086e-08,8.269152829143422e-08,-3.742525386818407e-12,-0.006749337539076805,-9.804905891418457,2.999509684685139e-15,0.04556113481521606,0.02246826514601707,0
0.01591301709413528,-0.2329942286014557,273.1000061035156,7.810804527252913e-05,-0.0001274513342650607,-6.639668109244482e-21,0,0,0,-4.315072743565906e-08,5.117044565849937e-08,5.693975294691193e-21,-0.007371462415903807,-9.805826187133789,-3.868231122312123e-16,0.04399409145116806,0.02539999969303608,0
0.01591255143284798,-0.2606583535671234,273.1000061035156,7.981732778716832e-05,-0.000112803783849813,4.361267560387374e-16,0,0,0,-3.016340954786756e-08,3.212448973499704e-08,7.485050773636814e-12,-0.007867413572967052,-9.806820869445801,-6.957689141490328e-15,0.04223865643143654,0.02822296693921089,0
0.0159121211618185,-0.2871381342411041,273.1000061035156,8.037137740757316e-05,-9.898903226712719e-05,2.180602413504859e-16,0,0,0,-2.156133049879827e-08,2.06702512883794e-08,3.742525386818407e-12,-0.008228544145822525,-9.807872772216797,-3.571356026936621e-15,0.04030235111713409,0.03092508018016815,0
0.01591172441840172,-0.3123201727867126,273.1000061035156,7.985606498550624e-05,-8.597180567448959e-05,0,0,0,0,-1.578685093761578e-08,1.347846279031728e-08,0,-0.00844857282936573,-9.808962821960449,0,0.03819346055388451,0.03349476680159569,0
0.01591135933995247,-0.3360966444015503,273.1000061035156,7.830629328964278e-05,-7.370531238848343e-05,0,0,0,0,-1.163315488383887e-08,8.644178706163075e-09,0,-0.008523715659976006,-9.810073852539062,0,0.03592102602124214,0.03592102602124214,0
0.01591827161610126,0.01591827161610126,273.1000061035156,1.27524754134356e-05,-0.0002697806630749255,-1.35959847439105e-17,-1.275648794477642e-22,2.69973354438821e-21,-0,-7.735106919426471e-07,2.289943040523212e-06,-2.332573153726591e-13,1.27524735944462e-05,-9.801765441894531,-1.35959847439105e-17,0.04841874912381172,0,0
0.01591744460165501,-0.01511913258582354,273.1000061035156,2.857430627045687e-05,-0.0002513173094484955,2.718982378131205e-17,-2.858989187831012e-22,2.514971162736806e-21,1.68155815718978e-44,-6.077336820453638e-07,1.36746905354812e-06,4.665146307453183e-13,-0.001081512193195522,-9.801819801330566,-5.620627411337799e-17,0.04831508174538612,0.003166737733408809,0
0.01591667160391808,-0.04602358117699623,273.1000061035156,4.220793562126346e-05,-0.0002329059061594307,6.270614025281147e-17,-4.223361610080968e-22,2.330728596245731e-21,1.261168617892335e-44,-4.447567221177451e-07,8.032013738556998e-07,1.075912904775767e-12,-0.002158970339223742,-9.802018165588379,-1.803021066002901e-16,0.04800451919436455,0.006319914944469929,0
0.01591594703495502,-0.07666274160146713,273.1000061035156,5.384027099353261e-05,-0.0002145909529644996,2.871868847260401e-17,-5.387450452648723e-22,2.147450737221983e-21,4.203895392974451e-45,-3.070643685987307e-07,4.758106797453365e-07,4.927696163441186e-13,-0.003200767328962684,-9.80235767364502,-1.173124088334955e-16,0.04748839884996414,0.009446029551327229,0
